HGNC ID	Approved Symbol	Approved Name	Locus Type
7241	MRX12	mental retardation, X-linked 12	phenotype only
7242	MRX13	mental retardation, X-linked 13	phenotype only
7243	MRX14	mental retardation, X-linked 14	phenotype only
7244	MRX15	mental retardation, X-linked 15	phenotype only
7246	MRX17	mental retardation, X-linked 17	phenotype only
7247	MRX18	mental retardation, X-linked 18	phenotype only
7250	MRX20	mental retardation, X-linked 20	phenotype only
7253	MRX23	mental retardation, X-linked 23	phenotype only
7254	MRX24	mental retardation, X-linked 24	phenotype only
7255	MRX25	mental retardation, X-linked 25	phenotype only
7256	MRX26	mental retardation, X-linked 26	phenotype only
7257	MRX27	mental retardation, X-linked 27	phenotype only
7258	MRX28	mental retardation, X-linked 28	phenotype only
7262	MRX31	mental retardation, X-linked 31	phenotype only
7266	MRX35	mental retardation, X-linked 35	phenotype only
7268	MRX37	mental retardation, X-linked 37	phenotype only
7270	MRX39	mental retardation, X-linked 39	phenotype only
7272	MRX40	mental retardation, X-linked 40	phenotype only
7274	MRX42	mental retardation, X-linked 42	phenotype only
7281	MRX49	mental retardation, X-linked 49	phenotype only
7283	MRX50	mental retardation, X-linked 50	phenotype only
7284	MRX51	mental retardation, X-linked 51	phenotype only
7285	MRX52	mental retardation, X-linked 52	phenotype only
